StnCode,Lat,Long,Elev,StnName
P330,40.324065,-123.135566,1653.456,Red_Mtn_Heliport_STNF_Wildwood_CA_2007_CGPS
BUMS,-85.961,174.498,2648.9,Bumstead Nunatak
WIN2,37.65265,-122.14063,-27.6239,Winton_FAA_#2_CN_2008_CGPS
P001,31.949373,-112.80169,475.587,Organ_Pipe_AZ_2007_CGPS
AB17,63.88635956,-160.694731,117.4453,Unalakleet_AK_2008_CGPS
ACP6,9.23847594,-79.4078233,943.5606,ACP6
P337,40.296185,-122.868789,1193.768,Pattymocus_Lookout_STNF_Platina_CA_2007_CGPS
B012,48.92463,-125.54198,13.0,UCLUELET_CGS_B012_Vancouver_Island_BC_2005_bsms
C110,51.8924,-176.6586,91.0,Adak_Communications_Adak_Island
P620,35.78536,-116.14491,669.449,Alexanderhills_cs2008
MDMT,42.418341,-121.221601,1710.544,Medicine_Mountain_OR_1999_CGPS
CAT1,33.445771,-118.483007,3.915,CAT1_SCIGN______
RINK,71.8485,-50.9939,1340.23,GNET-OSU/NSF/UNAVCO/DNSC/ULUX
WEPD,29.687731,-95.228731,8.5,Williams Elementary
MEPD,29.658082,-95.239592,-12.7027,Matthys Elementary
DDSN,43.118791,-123.244241,953.1111,Dodson_Butte_OR_1999_CGPS
CPXX,46.84,-122.26,533.7,Charles_Pack_Experimental_Forest_WA_2001_CGPS
TOOL,68.62753615,-149.59775496,739.958,Toolik Field Station 
GOAV,18.42808249,-72.86542044,-4.0445,N/A
STVI,18.340101,-64.97445,-21.621,St_Thomas_US_Virgin_Islands_2008
P616,35.42454,-117.89328,1085.0,Red_Buttes_CA_2007_CGPS
C117,61.14131,-145.74957,800.0,Thompson Pass DOT comms site
B057,38.0273,-122.5655,14.4,lucasv057bcn2008
RDMT,34.64394,-116.624686,1783.0036,Rodman_Mountain_CS_1999_CGPS
P602,35.7292,-120.22738,686.0,Polonial_Pass_CA_2008_CGPS
QAAR,70.740405327,-52.688372259,53.093,GNET-OSU/NSF/UNAVCO/DNSC/ULUX
B903,35.807,-120.284,0.0,stonec903bcn2007
DOMI,15.306263,-61.3891,-12.151,DomiRose_DMA2011
MARC,19.05214564,-72.75784539,407.5449,St_Marc
B946,33.5373,-116.5925,1429.0,sagebf946bcs2010
SEAT,47.653977,-122.309476,44.2292,University_of_Washington_Seattle_WA_1995_CGPS
SCBY,80.2601,-59.5936,544.0,GNET-OSU/NSF/UNAVCO/DNSC/ULUX
CNG2,12.50117,-86.69933,514.0,CerroNegrNIC2010
UPVK,72.788289225,-56.127998542,165.9976,Upernavik Airport
SMRT,18.042266767,-63.1088690982,-32.786,Saint Marten
LEME,12.42748,-86.90963,78.0,LeonMetStNIC2009
GTRG,43.244092,-113.241213,1539.1513,Great_Rift_ID_1998_CGPS
GR8R,36.399011,-120.415716,206.606,Greater_Martin_Ranch_CN_2008_CGPS
KELS,46.118177,-122.896069,-15.9233,Kelso_Airport_1997_CGPS
VOIL,18.528677979,-72.308605167,240.5795,VOIL
BAMO,40.41275,-117.204566,1792.4592,Battle_Mountain_NV_2003_CGPS
OPCP,34.367129,-116.083372,1096.6705,29Palms_Observation_Pt_Crampton_CS_1999_CGPS
P485,33.210211,-116.409038,372.1442,Tubb_Canyon_CA_2006_CGPS
AB50,58.416776,-134.5453,51.4998,mendenhallak2005
PRPT,-66.0067,-65.3393,15.0,Prospect Point
TONO,38.097194,-117.18404,2066.0222,Tonopah_NV_1999_CGPS
CHWN,27.668056,84.385278,137.0,BharatpurNPL2011
CVMS,35.541421287,-89.643510038,73.0059,cvms
CHLL,40.447,-104.638,1408.87,CHLL_NCAR_C02014
TPW2,46.207373,-123.768364,-14.9608,Tongue_Pt_L2_Astoria_OR_2000_CGPS
UHSL,29.574686,-95.651539,17.1,University Houston Sugar Land
HDIL,40.555878,-89.293981,201.064,Mackinaw_Fish_Wildlife_Hopedale_IL_2006_CGPS
RDMA,19.53879,-71.07724,65.699,Mao_RDMA_DOM2016
LCSB,19.6675,-80.0822,-9.807,LITTLECAYMAN_CYM2014_CGPS
TEG2,14.090085,-87.205647,947.171,TeguciglpHND2011
NARA,17.226762,-90.810001,73.383,El_Naranjo_IGN_Guatemala_cGPS_2009
PABH,47.212799,-124.204582,12.9063,Pacific_Beach_WA_1997_CGPS
SALN,12.61769,-86.85608,535.0,Salmeron_NIC2010
EOUT,41.253197,-111.928908,1677.849,East_Ogden_UT_1998_CGPS
LKCP,47.94438,-121.830853,178.3064,Lake_Chaplain_2001_WA_CGPS
SEDR,48.521558,-122.223848,29.8571,Sedro_Woolley_WA_1997_CGPS
AC28,55.07849,-160.04914,364.517,Nagai_Island_Shumagin_Islands_AK_2008_CGPS
B933,40.06,-123.969,268.1,mckeem933bcn2008
P781,37.69898,-121.07155,-9.7396,North_Modesto_Salida_CA_2008_CGPS
P779,35.20194,-82.87247,880.087,PARI_Observatory_Rosman_NC_2008
BBDM,34.582198,-119.981512,204.8858,Bradbury_Dam_Solvang_CA_2000_CGPS
TECF,12.60301,-86.83839,863.0,CraterFlrNIC2010
HERH,12.60935,-86.83098,740.0,HerminiosNIC2010
POLS,12.64935,-86.81293,133.0,PolvaleraNIC2010
JCFI,12.68374,-86.82826,44.0,JCFInca__NIC2010
CORO,9.328119,-75.28785,162.62,Corozal
MAWY,44.973428,-110.689301,1824.2557,Mammoth_HQ_YNP_WY_1998_CGPS
CABL,42.836099,-124.563346,37.8365,CABL_PNGA_OR1997
CCCC,35.565312,-117.671172,813.9681,Cerro_Coso_Community_College_CS_2000_CGPS
B085,33.59989,-116.59612,1362.0,
TOIY,39.542173,-117.049407,2299.0592,Toiyabe_Range_NV_2003_CGPS
MPUT,40.015599,-111.633629,1829.1684,Maple_Canyon_UT_2003_CGPS
THAR,46.27525,-122.17403,1430.58,Mt_St_Helens_HarrysRidge_WA_2006_VGPS
SA06,43.756845154,-71.690501065,166.3698,"Plymouth, NH"
P613,34.196185,-117.049948,2355.858,Keller_Peak_CA_2007_CGPS
AC10,54.52258181,-164.886728,170.4754,AC10_Cape_Sarichef_Unimak_Island_Alaska
CBHS,34.13856,-118.629804,284.621,CBHS_SCGN_CS1998
RAMT,35.338714,-117.683349,1406.6133,Rand_Mountain_CS_2000_CGPS
AB39,66.55934629,-145.212631,147.6926,Fort Yukon_AirForceLRRS_AK2008_CGPS
HEBE,40.514099,-111.372718,1806.3463,HEBE_BARGEN_____
B905,35.687,-120.001,0.0,blackf905bcn2007
BSRY,34.918612,-117.011993,613.5034,Barstow_Rd_Yd_CS_1998_CGPS
CRBT,35.79161,-120.750753,205.444,Camp_Roberts_Parkfield_CA_2001_CGPS
RDON,16.93418266,-62.34629539,105.9915,Redonda
AV27,54.49235106,-164.723162,977.8823,AV27_Westdahl_Southwest_Unimak_Isld_Ak2008_CGPS
P652,37.589154,-118.238437,3865.985,Barcroft_Observatory_CA_2007_CGPS
GNPS,34.308556,-114.18945,232.379,GNPS_SCGN_CS1999
CORV,44.585535,-123.304604,105.6205,Corvallis_Seismic_Station_OR_1996_CGPS
TRND,41.053886,-124.150867,78.1886,Trinidad_Head_CA_1999_CGPS
GOSH,40.640169,-114.179698,1560.1887,Goshute_Mountains_Wendover_NV_1996_CGPS
AC65,62.83151,-143.704217,735.7994,Mentasta__AK2004
AV12,54.2108,-165.897546,404.6997,Akutan_Open_Bight_AK_2005_CGPS
P639,37.654558,-118.868693,2339.859,Fumarole_Valley_Mammoth_Lakes_CA_2006_CGPS
P524,35.16608,-120.59088,124.935,Squire Canyon
P065,46.844,-120.93307,0.0,Naches_Ridge_WA_2006_CGPS
P315,39.863582,-123.716895,257.9339,Leggett_Valley_School_Legett_CA_2005_CGPS
AV16,59.385912,-153.535022,24.857,Augustine_Island_Lagoon_AK_2006_CGPS
AV18,59.380435,-153.436812,366.697,North_Flank_Augustine_Volcano_AK_2006_CGPS
P382,43.17705663,-121.769574,1453.2353,Walker Rim Chemult OR 2008_CGPS
AV26,54.57165435,-164.580465,577.5943,AV26_Unimak_Island_Westdahl_Alaska_2008_CGPS
SPMS,33.992654,-117.848774,207.0515,South_Pointe_Middle_School_CA_1998_CGPS
P743,35.8377,-120.3452,1362.15,GoldHl078GCS2006
SHIN,40.591679,-120.225043,1377.3251,Shinn_Ranch_CA_1996_CGPS
B943,47.8132,-122.9113,84.2,Penny Creek 2
AV15,54.100194,-165.710112,457.4267,Akutan_East_Point_AK_2005_CGPS
BILL,33.578243,-117.064599,470.0611,Lake_Skinner_CA_1997_CGPS
WAI2,-79.467618312,-112.053599713,1769.341,WAIS DIVIDE 2
HVYS,34.44123,-119.18754,373.9685,Happy_Valley_School_CS_2000_CGPS
B026,45.309351,-123.823049,232.0,roosbc026bor2007
SBCC,33.552999,-117.661485,88.695,Saddleback_Community_College_CA_1999_CGPS
RSTP,34.875081,-118.192925,712.7381,Rosamond_Treatment_Plant_CS_1999_CGPS
FERN,35.341872,-112.454737,1767.9155,Ferno_Mesa_AZ_1999_CGPS
OPBL,34.36988,-115.91806,1226.5495,29Palms_Observation_Pt_Blaine_CS_1999_CGPS
PKRD,34.071559,-118.232902,130.858,Packard_Elysian_Park_CS_2000_CGPS
OPCL,34.42772,-116.30546,1312.9114,29Palms_Observation_Pt_Creole_CS_1999_CGPS
AC80,62.39407799,-151.765041,1114.4647,Yentna_River_2_Swentna_AK_2010
P323,39.845743,-122.963426,2086.046,Anthony_Peak_MNF_Covelo_CA_2007_CGPS
BLYN,48.016058,-122.92754,613.2876,Blyn_Mountain_WA_2001_CGPS
P500,32.690047,-115.299931,-20.5964,All_American_Canal_CA_2005_CGPS
P132,38.72884,-118.00485,1550.309,Paradise_Road_NV_2006
VIMT,34.126447,-118.514412,553.7066,San_Vicente_Mountain_CS_2000_CPGS
NHRG,34.49865,-119.14124,1649.419,Nordhoff_Ridge_CS_2000_CGPS
EDPP,34.946194,-118.830408,379.8356,Edmonston_Pumping_Plant_CA_1999_CGPS
MINE,40.148366,-116.095512,2075.6451,Mineral_Hill_NV_1996_CGPS
C017,40.69785,-124.19864,12.5,College_Redwoods_Eureka_Campus
PTSG,41.782741,-124.255199,-10.2142,Point_St_George_CN_1999_CGPS
EGAN,39.345244,-114.938854,1998.271,Egan_Ely_NV_1997_CGPS
C163,34.25198,-116.05196,710.0,Bearmat Communications Hub 29 Palms Marine Base
SC00,46.950925,-120.724609,1178.4093,SC00_PNGA_WA2001
SLID,39.314277,-119.884287,2902.5263,Slide_Mountain_NV_1996_CGPS
TJRN,34.483473,-120.132562,157.1768,Tajiguas_Ranch_CA_2000_CGPS
SC02,48.546195,-123.00761,-15.0315,SC02_PNGA_WA2001
P076,39.53606,-115.51258,2006.701,Dry_Mountain_NV_2006
SC03,47.816587,-123.705738,2018.4739,SC03_WA_2002_CGPS
HVWY,44.613601,-110.535962,2406.8178,Hayden_Valley_WY_1999_CGPS
AGMT,34.594282,-116.429378,1337.8404,29Palms_Argos_Mtn_Firing_Area_CS_1999_CGPS
OZST,34.68337,-119.353406,1059.1764,Ozena_Station_CS_2000_CGPS
P193,38.12294,-122.9081,67.0,Point_Reyes_Natl_Seashore_Inverness_CA_2007_CGPS
NBPS,34.508622,-116.148172,1098.8044,29Palms_Noble_Pass_Firing_Area_CS_1999_CGPS
GR8V,36.399008,-120.415772,204.2666,Great_Valley_BARD_2003_CGPS
P615,35.204609,-116.762909,995.1514,Painted_Rocks_Fort_Irwin_CA_2006_CGPS
LMUT,40.2614203,-111.928314,2311.989,Lake_Mtn_UT_1997_CGPS
P247,36.559517,-121.188432,569.0757,Spencer_Ranch_Paicines_CA_2006_CGPS
RUBY,40.61721,-115.12282,1882.381,Ruby_Valley_NV_1996_CGPS
CAT2,33.311616,-118.333815,477.2619,Catalina_Island_2_CS_2000_CGPS
P005,39.91017,-115.27861,2016.321,Pony_Express_NV_2006
ORES,34.739059,-120.278557,143.8524,Olga_Reed_Elementary_School_CA_1999_CGPS
P711,44.635565,-110.861066,2118.7243,YNPMadisonWY2005
ATW2,61.597754,-149.132291,97.0841,Alaska_Tsunami_Warning_Center_2_Palmer_AK
P349,40.731086,-122.319351,275.4015,Wonderland_Shasta_Lake_CA_2005_CGPS
P436,48.045303,-123.134348,190.8794,Dungeness_River_Sequim_WA_2006_CGPS
P345,40.271234,-122.270806,134.0829,Hooker_Dome_Red_Bluff_CA_2005_CGPS
S300,37.66650699,-121.558269,495.7488,LLNL_Site_300_CN_1998_CGPS
CAT3,33.4458,-118.483,3.92,Catalina_Island_3_CS_2008_CGPS
CHMS,34.640462,-117.827701,760.3272,Challenger_Middle_School_CA_1999_CGPS
P604,34.93683,-116.67145,588.4287,Harvard_Hill_CA_2008_CGPS
FORE,40.51189,-111.38031,1795.0,Red_Ledges_Golf_Course_UT_2007_CGPS
NRWY,44.714848,-110.677717,2342.7,Norris_Junction_WY_2003_CGPS
C028,40.876306,-124.075369,21.0,Humboldt_State_comms_CN2005
C097,44.79757,-110.433927,3120.0,Mt_Washburn_Relay
P795,34.50812368,-116.14813,1095.2595,Noble_Pass_Firing_Area_CA_2009_CGPS
C157,63.8825,-152.31722,200.0,Lake Minchumina comms
EWPP,34.104198,-117.525584,330.4835,Etiwanda_Power_Plant_CA_1999_CGPS
DSHS,34.02393,-118.34854,-2.1049,Dorsey_High_School_CS_1999_CGPS
P646,37.67703,-118.819972,2102.583,Fossil_Tiltmeter_CA_2006_CGPS
SELD,59.44571,-151.706671,20.3723,Seldovia_Airport_AK_2000_CGPS
CSST,34.40809,-119.371248,162.5127,Casitas Springs_CS_2000_CGPS
GLS1,66.4793959439,-46.3101516098,2150.0,N/A
P135,38.704622,-119.015371,1692.1404,Cambridge_Hills_NV_2006
CTDM,34.516549,-118.613209,406.0799,Castaic_Dam_Castaic_CA_2001_CGPS
P375,44.68925,-123.426971,99.572,Sunrise_Tree_Farm_2007_CGPS
P115,40.47442,-112.42798,1642.704,Grantsville_UT_2007
HNPS,33.705006,-115.635335,393.9484,Hinds_Pumping_Station_CA_1999_CGPS
P489,33.296208,-116.111593,291.065,Calcite_Mine_CA_2007_CGPS
BEPK,35.878388,-118.074092,2471.1201,Bear_Peak_CS_2000_CGPS
DSSC,33.733331,-116.712089,1660.8776,Desert_Sun_Science_Center_CA_1998_CGPS
FMVT,34.356335,-118.88403,617.0158,Fillmore_VORTAC_CA_2000_CGPS
MIDA,35.921912,-120.45883,570.6897,Mida_Parkfield_CN_1993_CGPS
OPCX,34.430082,-116.149484,1133.8286,29Palms_Observation_Pt_Cross_CS_1999_CGPS
VNCO,34.275764,-119.237668,25.709,Ventura_College_CA_2000_CGPS
AV05,59.362933,-153.422657,1036.6063,AV05AUGST_AK2004
P394,44.834876,-117.799622,1011.195,Baker_City_Airport_OR_2007_CGPS
MASW,35.832596,-120.443058,713.741,Mason_West_Parkfield_CN_2001_CGPS
B084,33.61157,-116.45637,1271.0,B084_PFO_CA2006
POMM,35.91991,-120.478434,597.1215,Pomm_Parkfield_CN_1993_CGPS
P709,44.391795,-110.286006,2379.6957,YNPPromtryWY2005
P057,41.756571,-112.623139,1382.2135,Hill_72_UT_2004_CGPS
PCOL,47.17205,-122.57079,79.482,Pierce_College_WA_2003_CGPS
PUPU,47.499559,-122.00808,542.4355,Poo_Poo_Point_WA_2001_CGPS
LACR,40.85072,-115.70376,1666.0,Last_Chance_Ranch_BARGEN_Exp_NV_2006_CGPS
MOIL,40.7107,-115.41208,2197.0,Lamoille_BARGEN_Exp_NV_2006_CGPS
CHAB,37.724115,-122.11931,213.9726,Lake_Chabot_Regional_Park_San_Leandro_CA
CLOV,40.55834,-114.87418,2126.0,Clover_BARGEN_Exp_NV_2006_CGPS
B904,35.697,-120.288,0.0,bitter904bcn2007
P164,40.119256,-123.693339,1148.3168,Pratt_Mountain_CA_2004_CGPS
ECCO,33.886752,-118.329025,-19.3377,ECCO_SCIGN______
P667,40.465822,-121.467425,2334.572,Lassen_NP_White_Mineral_CA_2007_CGPS
CDMT,34.829467,-116.335931,936.5821,Cady_Mountain_CS_2000_CGPS
SDHL,34.255011,-116.278897,835.0614,Sand_Hill_CS_2001_CGPS
RNCH,35.899993,-120.524825,838.8185,Ranchita_Parkfield_CN_2001_CGPS
C037,43.670332,-110.596125,2130.0,GTNPrelay_WY2001
SFDM,34.459805,-118.754505,291.521,Santa_Felicia_Dam_CS_1999_CGPS
P806,32.963311,-84.225869,215.8,The_Rock_Mast_GA_2012_CGPS
MEE1,36.186903,-120.758601,788.7707,Mee_Ranch_North_American_Plate_CN_2003_CGPS
P333,39.621377,-122.975738,2009.324,Bald_Mtn_MNF_Covelo_CA_2007_CGPS
SUMM,72.579187,-38.457205,3255.8615,Summit_Camp_GPS_Base_Greenland_2006_CGPS
P074,39.546423,-116.049583,1948.322,Big_Reilley_Canyon_Eureka_NV_2006_CGPS
P075,39.374239,-115.888803,1882.262,South_Gate_Eureka_NV_2006_CGPS
P319,39.707097,-123.295078,513.0226,Hog_Hole_Ridge_CA_2004_CGPS
AV17,59.403947,-153.451422,28.885,NW_Coastal_Site_Augustine_Volcano_AK_2006_CGPS
P777,35.70265,-92.54546,336.583,Rocky_Hill_Rd_Dennard_AR_2008
B036,42.505833,-123.381667,315.3,Grants036BOR2007 
AV19,59.354909,-153.414305,646.938,SE_Flank_Augustine_Volcano_AK_2006_CGPS
P279,35.79064668,-121.0620156,469.9232,Gulch_House_Creek_Bryson_CA_2007_CGPS
P166,40.435183,-123.862828,665.2745,Chalk_Mountain_Redcrest_CA_2005_CGPS
P465,36.466829,-118.132419,2902.264,Horseshoe_Meadows_Road_CA_2007_CGPS
C052,45.610876,-122.496423,93.0,MSH_North_Radio_Hub_Coldwater_WA2005
P073,39.50052,-116.424456,1943.256,Twin_Spring_Hills_Eureka_NV_2006_CGPS
P298,36.015837,-120.294044,323.849,Cedar_Canyon_Coalinga_CA
P472,32.889208,-117.104693,137.8629,Camp_Elliot_San_Diego_California_2004_CGPS
P110,39.715228,-111.571142,2266.209,San_Pete_Valley_UT_2005_CGPS
